Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2024-01-02 00:00:00+07:00;8.441.946.452.254.640;84.643.984.375;8.397.042.481.763.920;84.643.984.375;30545200;00.00;00.00
2024-01-03 00:00:00+07:00;8.464.397.943.996.490;8.464.397.943.996.490;8.374.590.008.251.160;83.970.419.921.875;34603300;00.00;00.00
2024-01-04 00:00:00+07:00;8.441.946.776.055.400;8.509.302.734.375;8.419.494.789.948.870;8.509.302.734.375;56501800;00.00;00.00
2024-01-05 00:00:00+07:00;8.531.754.395.806.130;862.156.233.681.462;8.509.302.410.554.010;85.991.103.515.625;85290100;00.00;00.00
2024-01-08 00:00:00+07:00;862.156.233.681.462;8.644.014.322.066.740;8.509.302.410.554.010;85.991.103.515.625;50896000;00.00;00.00
2024-01-09 00:00:00+07:00;8.621.561.688.311.680;8.644.013.671.875;8.599.109.704.748.370;8.644.013.671.875;59848600;00.00;00.00
2024-01-10 00:00:00+07:00;8.666.466.142.424.730;8.666.466.142.424.730;8.576.658.203.125;8.576.658.203.125;52774900;00.00;00.00
2024-01-11 00:00:00+07:00;8.644.014.322.066.740;8.666.466.307.318.860;85.991.103.515.625;85.991.103.515.625;39381500;00.00;00.00
2024-01-12 00:00:00+07:00;8.666.465.175.982.600;8.711.369.140.625;8.621.561.211.340.200;8.711.369.140.625;68253400;00.00;00.00
2024-01-15 00:00:00+07:00;8.756.274.250.883.670;8.756.274.250.883.670;8.666.466.309.848.970;8.733.822.265.625;88399500;00.00;00.00
2024-01-16 00:00:00+07:00;8.711.369.140.625;8.756.273.105.267.390;8.688.917.158.303.800;8.711.369.140.625;44869200;00.00;00.00
2024-01-17 00:00:00+07:00;87.562.734.375;87.562.734.375;8.666.465.504.807.690;87.562.734.375;107706100;00.00;00.00
2024-01-18 00:00:00+07:00;868.891.796.875;8.756.273.921.996.120;864.401.399.991.925;868.891.796.875;71048900;00.00;00.00
2024-01-19 00:00:00+07:00;8.778.725.573.254.870;8.778.725.573.254.870;8.621.561.688.311.680;8.644.013.671.875;63176500;00.00;00.00
2024-01-22 00:00:00+07:00;8.621.561.688.311.680;8.666.465.655.438.310;8.554.205.737.621.750;8.644.013.671.875;52868300;00.00;00.00
2024-01-23 00:00:00+07:00;84.868.505.859.375;86.215.625;84.868.505.859.375;86.215.625;92348600;00.00;00.00
2024-01-24 00:00:00+07:00;8.621.562.007.874.010;8.621.562.007.874.010;850.930.208.589.649;85.542.060.546.875;84906000;00.00;00.00
2024-01-25 00:00:00+07:00;8.486.850.909.745.060;8.599.110.842.413.650;8.486.850.909.745.060;85.317.548.828.125;63212700;00.00;00.00
2024-01-26 00:00:00+07:00;844.194.596.006.016;848.684.992.793.282;835.213.802.431.484;83.970.419.921.875;78977300;00.00;00.00
2024-01-29 00:00:00+07:00;8.441.946.294.175.390;8.576.658.203.125;8.419.494.309.350.450;8.576.658.203.125;73452800;00.00;00.00
2024-01-30 00:00:00+07:00;853.175.487.775.259;8.666.466.796.875;850.930.289.123.219;8.666.466.796.875;73136400;00.00;00.00
2024-01-31 00:00:00+07:00;8.711.370.112.074.600;8.711.370.112.074.600;8.576.658.203.125;8.576.658.203.125;102581200;00.00;00.00
